-35:17:28|||Counting down to launch
002:40:59|O|LMP|5:30 - 5 point - ... the same countdown, Jack, and then start counting up.
002:41:06|O|CMP|Okay.
002:41:07|O|LMP|...
002:41:08|O|CMP|... V<sub>I</sub> ...
002:41:11|P|PAO|Now about 20 seconds away from the scheduled shutdown time. Jim Lovell reported a few moments ago that that they're experiencing a bit of vibration on the S-IVB. Previous crews have also reported a similiar experience toward the end of the burn.
002:41:11|O|CDR|...
002:41:15|O|LMP|Five seconds.
002:41:16|O|CMP|Five ..., okay.
002:41:19|O|CDR|Better get ...
002:41:22|O|CMP|5.0. ...
002:41:28|O|CDR|5 -
002:41:29|O|LMP|4, 3, 2, 1 - 1, 2, 3, 4 -
002:41:34|O|LMP|Okay.
002:41:38|O|CDR|Engine Off. ...
002:41:39|O|LMP|... is three-quarter overburn.
002:41:40|T|CDR|It's off. Engine off.
002:41:42|C|Kerwin|Houston. Copy. Engine off.
002:41:44|O|LMP|Freeze the DSKY.
002:41:45|O|CMP|I did.
002:41:46|O|LMP|Okay, and  now we'll ...
002:41:49|O|LMP|Okay, Jim, it's SCS TVC Servo Power 1, Off.
002:41:52|O|CDR|It's Off.
002:41:53|O|LMP|PCM Bit Rate, I got Low. EMS Mode - Wait, let Jack get it. Minus 3.0.
002:41:57|O|CMP|Boy, beautiful.
002:41:58|O|LMP|You got that, Jack?
002:41:59|O|CMP|Yes.
002:42:00|O|LMP|EMS Mode to Standby?
002:42:01|O|CMP|...
002:42:03|O|CDR|EMS Mode to Standby.
002:42:04|O|LMP|Standby. Function, Off.
002:42:06|O|CDR|Function, Off.
002:42:07|O|LMP|Sequence Pyro Arm, two, Safe.
002:42:08|O|CDR|Sequence Pyro Arm, two, Safe.
002:42:09|O|CMP|That's a ..., too.
002:42:12|O|CDR|Okay.
002:42:17|O|LMP|Okay. Sequence - FDAI 1, Inertial.
002:42:20|O|CDR|FDAI 1 going Inertial.
002:42:22|O|LMP|And lock your hand controller.
002:42:23|P|PAO|Lovell's report of engine-on came about five or six seconds after the preplanned time.
002:42:24|O|CDR|Handcontroller is locked.
002:42:25|O|LMP|Okay, Jack, you clean up the DSKY and eventually get the P00.
002:42:27|C|Kerwin|13, Houston. We'll have you through Hawaii in 3 minutes.
002:42:31|T|CDR|Roger. Through Hawaii in 3 minutes.
002:42:33|O|LMP|Okay.
002:42:34|O|CMP|Okay -
002:42:35|O|LMP|So we're standing by until Jack gets through that - jazz -
002:42:38|O|CDR|How does that look, Jack?
002:42:40|O|CMP|Looks good.
002:42:44|P|PAO|Our communications continuing to come to us relayed through the ARIA aircraft. CapCom Joe Kerwin advised Lovell and the Apollo 13 crew that we'll be reacquiring a little less than three minutes from now through Hawaii at which time we should get good solid S-band communications and also our first look at the trajectory of Apollo 13 following the burn.
002:42:45|O|LMP|Okay,  it's a Verb 66 Enter, Jack, after you get - after you get the P00. Wait until you get that.
002:42:52|O|CMP|...
002:42:57|O|LMP|Okay, now you all switch - En route, Jack, you got to do a couple of things.
002:43:07|O|CDR|In Hawaii, we'll get their ... -
002:43:12|O|CMP|Okay. You - let me put this - put this up under here -
002:43:17|O|LMP|Okay.
002:43:18|O|CDR|And we'll have to switch comm carriers so I can take this suit stuff off.
002:43:20|O|LMP|Yes. We'll have to take the suit power off.
002:43:23|O|CDR|Yes. And we'll -
002:43:24|O|LMP|And what would be nice for you to do, Jack, if you can -
002:43:27|O|CMP|Okay. What do you want me to do?
002:43:28|O|LMP|-  is, first of all, Waste Stowage Vent valve, Closed.
002:43:32|O|CMP|Okay. I'll do that right now.
002:43:38|O|LMP|I've got the High Gain Power, Off, and I'm getting - I've got those two breakers in on 225. Waste Stowage Vent valve is Closed.
002:43:44|O|CMP|Closed.
002:43:45|O|LMP|Now, get the TV camera out from under there, will you?
002:43:47|O|CMP|Okay.
002:43:48|O|LMP|And I'll be dickering with that -
002:43:51|O|CMP|Okay, Freddo.
002:43:52|O|LMP|...
002:43:54|O|CMP|TV camera's -
002:43:57|O|LMP|Thank you. May as well get me the monitor and all that jazz.
002:44:00|O|CMP|I'll go do that now.
002:44:02|O|LMP|And the bracket. I'll be fiddling and getting this baby ready.
002:44:06|O|CMP|One bracket.
002:44:08|O|LMP|Thank you.
002:44:08|P|PAO|Our communications is getting quite noisy at this point through the ARIA relay. Lovell's reports of ignition and engine shutdown would indicate that the burn went at least fairly close to nominal. He reported engine shutdown about six seconds following the time that the engine was scheduled to shut down. And we'll be reacquiring at Hawaii in about 45 seconds.
002:44:27|O|CMP|Okay, Freddo, now here's the monitor.
002:44:37|O|LMP|Okay. Got a - Thank you. Okay. ...
002:44:53|O|LMP|Okay. Okay. The ... are off - done.
002:45:14|O|CDR|Stand by. ...
002:45:17|P|PAO|We have had Acquisition Of Signal at Hawaii, we'll stand by for a call to the crew.
002:45:21|O|CMP|It's funny.
002:45:25|O|CDR|Okay, my Suit Power's going Off -
002:45:29|O|CDR|- ... you got comm -
002:45:30|C|Kerwin|Apollo 13, Houston through Hawaii. Over.
002:45:32|O|CDR|Roger, Houston.
002:45:34|T|CDR|13 through Hawaii. How do you read?
002:45:38|C|Kerwin|13, Houston. You're weak but clear; it'll probably get better in a second. We're standing by for the burn report.
002:45:42|O|CDR|Roger.
002:45:43|O|CDR|Jack, we need the burn report just briefly.
002:45:45|O|CMP|Okay.
002:45:46|O|LMP|Here, I'll get it.
002:46:01|C|Kerwin|And 13, Houston. The Booster reports that everything looks good with the S-IV.
002:46:08|T|CDR|Sounds good, Houston. The ride was very nominal. We a little vibration, though, during most of the run.
002:46:15|C|Kerwin|Okay. We copied your call on that, Jim.
002:46:19|T|LMP|Okay, Joe. The DSKY read 35560, plus 04445, plus 01769, and Delta-V<sub>C</sub> was minus 3.0.
002:46:37|C|Kerwin|Roger. You can't ask for much better than that. How about the burn time? Did you notice?
002:46:42|T|LMP|Okay. On my trusty watch, I had about 3&frac34; seconds long.
002:46:49|C|Kerwin|Okay. Copy that.
002:48:34|C|Kerwin|Apollo 13, Houston.
002:48:38|T|CDR|Roger, Houston; 13 here.
002:48:39|C|Kerwin|Okay. We have the S-IVB maneuver to Sep attitude commencing at 2 plus 56 plus 37. Duration of the maneuver: 4 minutes. Sep time, 3 plus 06 plus 37. Over.
002:49:15|T|LMP|Okay. If I heard those right, Joe, that the S-IVB maneuver was 2 plus 56 plus 57, and Sep time is 3 plus 06 plus 27.
002:49:25|C|Kerwin|Correction on the seconds; 2 plus 56 plus 37, and 3 plus 06 plus 37.
002:49:43|T|LMP|Okay. 2 plus 56 plus 37 with the maneuver time; and the Sep time, 3 plus 06 plus 27?
002:49:53|C|Kerwin|That's plus 37, too. Exactly 10 minutes later, Fred.
002:50:00|T|LMP|Okay; 37.
002:53:37|P|PAO|This is Mission Control; we're now at 2 hours, 54 minutes with the crew, and preparing for the CSM separation from the S-IVB; the subsequent docking with the Lunar Module and the ejection of the LM and Command Module from the Saturn third stage. The times of all of those events are almost precisely as indicated in the Flight Plan. The separation maneuver scheduled to occur at Ground Elapsed Time of 3 hours, 6 minutes, 37 seconds; and the docking would come then with the LM at 3 hours, 16 minutes Ground Elapsed Time. Our displays in Mission Control are showing the effects of the Translunar Injection burn; we currently show the spacecraft at an altitude of 1,183 nautical miles [2,191 km], traveling at a velocity of 31,406 feet per second [9,573 metres/second].
002:57:52|C|Kerwin|Apollo 13, Houston.
002:57:54|T|CDR|Go ahead.
002:57:57|C|Kerwin|We see the booster doing all the right things, and FIDO says your trajectory looks good, and it looks like we'll stick with a pretty close to nominal midcourse, too. We'll have some numbers for you later.
002:58:02|T|CDR|Okay. And we concur. The S-IVB is maneuvering at this time.
002:58:13|C|Kerwin|Roger.
002:58:32|C|Kerwin|And, Apollo 13, Houston. We'd like Omni Alpha. Over.
002:58:36|T|CDR|Omni Alpha, coming up.
002:59:54|C|Kerwin|13, Houston. Now request Omni Charlie.
002:59:56|T|CDR|Roger. Going Charlie.
003:00:06|C|Kerwin|And, 13, we'll be doing a handover, now.
003:00:09|T|CDR|Okay.
003:00:59|P|PAO|And our booster engineer reports the S-IVB is nearly in the proper attitude. We're about 5&frac12; minutes from the scheduled time of separation, and we are expecting that the crew will have the television transmitter and camera on, beginning at a Ground Elapsed Time of about 3 hours, 15 minutes for television coverage of the docking.
003:01:33|C|Kerwin|Apollo 13, Houston. You are Go for T&amp;D.
003:01:37|T|CMP|Okay, Joe. Thank you.
003:01:44|C|Kerwin|And, 13, Houston. Check your Noun 17 for extraction pitch attitude. It should be 319 degrees. Over.
003:01:52|T|CDR|Okay. We'll look at it.
003:05:20|T|CMP|Okay, Houston; 13. Do we have a Go for pyro arm?
003:05:31|C|Kerwin|13, Houston. Affirmative. You're Go for pyro arm, and recommend you secure the cabin pressurization.
003:05:39|T|CMP|We did. We closed the waste management vent valve, there. Or waste stowage valves -
003:05:48|C|Kerwin|Okay. We're reading 6 psi on the cabin, Jack.
003:05:55|T|CMP|Roger, Joe. Thank you very much.
003:07:01|P|PAO|Telemetry data, here on the ground, indicates that the spacecraft has separated from the S-IVB. Astronaut, Jack Swigert at this time would be in the commander's couch, the left-hand couch, at the controls of the spacecraft during the transposition and docking maneuvers. And we should be getting television transmissions from the spacecraft, beginning at about 3 hours, 15 minutes Ground Elapsed Time.
003:07:38|T|CMP|Yeah, that's quite a bang, Joe. We've separated, and we've pitched around about 60 degrees now.
003:07:44|C|Kerwin|Roger, Jack. We see you pitching.
003:07:47|T|CMP|Okay. We got the SLA panels; one of them is out front now.
003:07:52|C|Kerwin|Ah, so.
003:07:58|P|PAO|Swigert reporting that the SLA panels on the S-IVB are coming into view.
003:08:38|T|CMP|Got the S-IVB. I guess we're about 80 feet.
003:08:42|C|Kerwin|Good deal.
003:09:01|T|LMP|Okay. I'm going to come on with the TV now, Joe.
003:09:03|C|Kerwin|Okay, Fred. We're waiting for it.
003:09:20|P|PAO|The network controller reports we're getting television signals now from the spacecraft, a bit earlier than expected and the crew is apparently somewhat ahead of the timeline in the Transposition and Docking maneuver. We'll stand by for a television picture.
003:09:52|C|Kerwin|13, Houston. We've got a groovy TV picture.
003:09:57|T|CDR|Sounds good.
003:10:30|P|PAO|We're looking down the nose of the S-IVB minus its SLA panels at this time, the top view of the LM. That last report Swigert said they were 80 feet away from the S-IVB and that distance should be closing.
003:11:25|T|LMP|Is the focus good enough, Joe, that you can see all the glittering debris?
003:11:32|C|Kerwin|We've seen some debris, Fred. The booster itself is a little bit bright. What's your f-stop?
003:11:40|T|LMP|Okay. I'm at 22.
003:11:41|C|Kerwin|Why don't you go up a click and let us have a look at that.
003:11:50|T|LMP|Okay. You're at 44 now.
003:11:55|C|Kerwin|Okay. Let's stay there for now and I assume you're in peak.
003:11:58|T|LMP|Affirmed.
003:12:17|C|Kerwin|13, Houston. Recommend Rate 2 on the BMAGs.
003:12:24|T|CMP|Thank you.
003:12:36|P|PAO|Fred Haise is manipulating the TV camera. We haven't determined yet which window of the Command Module we're looking out of. Jack Swigert in the left hand couch maneuvering the spacecraft, the Command Module, into position for the docking.
003:13:23|C|Kerwin|It's getting bigger.
003:13:42|T|CDR|As you might know, Joe, I've got the center seat, again and I can't see a thing.
003:13:47|C|Kerwin|Too bad.
003:13:49|T|LMP|I gave him the TV monitor.
003:14:01|P|PAO|This view of the Saturn third stage and the Lunar Module is coming to us from about 5,000 [nautical] miles [9,000 km] beyond Earth. The spacecraft and S-IVB travelling at a speed of about 22,900 feet per second [7,000 m/s] at this time.
003:15:04|T|LMP|Okay, I'm going to be moving the TV directly. I'm going to pull it out of this bracket, Jim.
003:15:10|C|Kerwin|13, Houston. Did you call?
003:15:12|T|LMP|Rog. I'll be moving the TV to get a better shot here; moving it out of this bracket.
003:15:18|C|Kerwin|Okay, Fred. It's just beginning to cut off at the bottom, but it's still a very good picture.
003:16:30|C|Kerwin|That's a good picture, Fred.
003:16:36|T|LMP|And we're just about there. About 10 - 10 more feet now.
003:16:41|C|Kerwin|Rog.
003:16:43|T|LMP|Everything looks pretty good down in the S-IVB, too. The shroud still looks intact down there.
003:16:50|C|Kerwin|Good deal. There's really quite a bit of detail in this picture.
003:17:03|O|CDR|Contact.
003:17:07|T|CMP|Okay. We've - we've got two barber poles.
003:17:11|C|Kerwin|Houston; Roger.
003:18:10|T|LMP|Okay. You should be able to see down into the portion of the IU right now, Joe.
003:18:21|C|Kerwin|Fred, Houston. We'd like to try going to Average on the TV for a minute or so.
003:18:29|T|LMP|Okay. You've got Average, and a little yellow dust cap just floated by in front of us.
003:18:36|C|Kerwin|Yeah. We see it at the top of the screen.
003:18:41|C|Kerwin|And, Fred, after a few minutes of this, at your convenience, we could use some interior shots if you get the time and if the lighting is good.
003:18:51|T|LMP|Okay.
003:18:52|C|Kerwin|And, 13, Houston. The S-IVB vent times are nominal as in the Flight Plan within a few seconds.
003:19:18|T|CDR|We're hard docked, Houston.
003:19:21|C|Kerwin|Roger. Understand. Hard docked. Good deal. Fred, one more thing on the TV. If you could come down to f:22 again.
003:19:32|T|LMP|Okay. You've got f:22 again.
003:20:22|T|CDR|And, Houston, Fred will handle the camera as we go through the postdocking checklist.
003:20:26|C|Kerwin|Okay, Jim. Real good.
003:20:52|P|PAO|Haise is apparently maneuvering the camera inside the spacecraft for an interior view at this point and we'll stand by to see if we've got enough light inside the spacecraft to get a useable picture.
